153,504
154,905
156,356
157,553
159,343
159,605
162,048
162,566
163,603
164,866
161,898
155,463

146,864
143,962
140,051
136,037
132,619
129,233
126,304
122,701
119,705
116,823
119,124
112,918
115,23
113,982
111,489
111,489
110,315
107,757
104,216
105,273
106,609
102,454
104,034
102,795
102,795
101,462
102,795
94,9682
106,514
109


118,974

125,218
125,329
128,005
131,298
134,692
136,578
140,449
143,24
143,613
145,236
147,663
149,095
151,992
154,383
154,643
157,356
157,879
159,447
160,756
160,669
162,566
163,714
164,232
159,422
156,595
152,675
148,531
143,46
139,778
136,327
132,534
128,587
124,604
122,725
122,721
117,535
118,974
112,179
111,936
115,23
111,489
111,489
110,244
109
98,9751
106,514
106,514
105,273
100,096
101,558
102,795
102,795
100,323
94,4123
107,757
107,757

115,23
120,223

125,218
125,291
128,054
131,879
133,591
136,405
139,631
142,823
143,919
145,929
148,018
150,507
149,667
153,155
154,992
156,141
158,15
159,968
160,489
161,529
158,852
164,348
163,714
158,754
158,263
152,084
147,462
142,761
139,825
136,731
131,648
128,449
125,206
125,037
122,721
121,472
117,726
116,477
111,374
108,265
110,012
110,244
110,244
107,757
107,757
106,609
104,034
105,273
102,795
97,875
100,323
102,795
101,558
101,558
107,757
109




122,829
125,913
128,587
131,343
135,187
137,931
139,8
142,833
143,169
146,633
148,347
148,552
152,178
153,754
154,583
156,737
157,925
159,968
160,489
159,913
163,084
164,016
164,118
161,455
157,422
150,846
147,969
142,862
139,778
135,825
131,741
128,005
125,765
125,218
120,585
116,841
118,974
116,477
115,347
110,073
111,489
111,489
110,244
107,757
104,508
106,609
104,034
104,034
104,034
104,034
102,795
102,795
100,323
102,795
107,757


117,726
120,223
121,472
126,466
125,927
129,107
131,55
133,873
137,977
139,041
142,266
145,464
146,903
147,41
149,095
151,097
152,659
154,744
156,248
157,442
159,968
161,009
162,267
163,084
164,232
164,866
161,017
156,675
150,797
145,744
143,269
139,318
139,318
